FIPS_Code,State,Area_Name,Annual_Salary
0,US,United States,104575.5
1000,AL,Alabama,80985
1001,AL,"Autauga County, AL",99666
1003,AL,"Baldwin County, AL",98487
1005,AL,"Barbour County, AL",123676.8
1007,AL,"Bibb County, AL",72681
1009,AL,"Blount County, AL",85341
1011,AL,"Bullock County, AL",102486.4
1013,AL,"Butler County, AL",126214.4
1015,AL,"Calhoun County, AL",72249
1017,AL,"Chambers County, AL",68170.5
1019,AL,"Cherokee County, AL",69547.5
1021,AL,"Chilton County, AL",82713
1023,AL,"Choctaw County, AL",60901.5
1025,AL,"Clarke County, AL",68170.5
1027,AL,"Clay County, AL",70554
1029,AL,"Cleburne County, AL",74653.5
1031,AL,"Coffee County, AL",82578
1033,AL,"Colbert County, AL",80011.5
1035,AL,"Conecuh County, AL",113987.2
1037,AL,"Coosa County, AL",68931
1039,AL,"Covington County, AL",66282
1041,AL,"Crenshaw County, AL",121718.4
1043,AL,"Cullman County, AL",82554
1045,AL,"Dale County, AL",75129
1047,AL,"Dallas County, AL",106108.8
1049,AL,"DeKalb County, AL",67593
1051,AL,"Elmore County, AL",94720.5
1053,AL,"Escambia County, AL",60759
1055,AL,"Etowah County, AL",69462
1057,AL,"Fayette County, AL",69183
1059,AL,"Franklin County, AL",68160
1061,AL,"Geneva County, AL",64809
1063,AL,"Greene County, AL",96720
1065,AL,"Hale County, AL",62992.5
1067,AL,"Henry County, AL",84583.5
1069,AL,"Houston County, AL",73051.5
1071,AL,"Jackson County, AL",70497
1073,AL,"Jefferson County, AL",82815
1075,AL,"Lamar County, AL",66397.5
1077,AL,"Lauderdale County, AL",78333
1079,AL,"Lawrence County, AL",83332.5
1081,AL,"Lee County, AL",81282
1083,AL,"Limestone County, AL",103810.5
1085,AL,"Lowndes County, AL",118377.6
1087,AL,"Macon County, AL",113132.8
1089,AL,"Madison County, AL",117579
1091,AL,"Marengo County, AL",63072
1093,AL,"Marion County, AL",66954
1095,AL,"Marshall County, AL",76287
1097,AL,"Mobile County, AL",74772
1099,AL,"Monroe County, AL",61495.5
1101,AL,"Montgomery County, AL",75967.5
1103,AL,"Morgan County, AL",84510
1105,AL,"Perry County, AL",100870.4
1107,AL,"Pickens County, AL",65889
1109,AL,"Pike County, AL",124624
1111,AL,"Randolph County, AL",68833.5
1113,AL,"Russell County, AL",67273.5
1115,AL,"St. Clair County, AL",94522.5
1117,AL,"Shelby County, AL",128185.5
1119,AL,"Sumter County, AL",94368
1121,AL,"Talladega County, AL",70996.5
1123,AL,"Tallapoosa County, AL",71166
1125,AL,"Tuscaloosa County, AL",84411
1127,AL,"Walker County, AL",69514.5
1129,AL,"Washington County, AL",74692.5
1131,AL,"Wilcox County, AL",96227.2
1133,AL,"Winston County, AL",70764
2000,AK,Alaska,117655.5
2013,AK,"Aleutians East Borough, AK",107238
2016,AK,"Aleutians West Census Area, AK",129075
2020,AK,"Anchorage Borough/municipality, AK",129228
2050,AK,"Bethel Census Area, AK",82273.5
2060,AK,"Bristol Bay Borough, AK",132774
2063,AK,"Chugach Census Area, AK",132043.5
2066,AK,"Copper River Census Area, AK",91932
2068,AK,"Denali Borough, AK",127876.5
2070,AK,"Dillingham Census Area, AK",87583.5
2090,AK,"Fairbanks North Star Borough, AK",115131
2100,AK,"Haines Borough, AK",94732.5
2105,AK,"Hoonah-Angoon Census Area, AK",84832.5
2110,AK,"Juneau Borough/city, AK",134883
2122,AK,"Kenai Peninsula Borough, AK",106666.5
2130,AK,"Ketchikan Gateway Borough, AK",109890
2150,AK,"Kodiak Island Borough, AK",121294.5
2158,AK,"Kusilvak Census Area, AK",122249.6
2164,AK,"Lake and Peninsula Borough, AK",76807.5
2170,AK,"Matanuska-Susitna Borough, AK",120246
2180,AK,"Nome Census Area, AK",98367
2185,AK,"North Slope Borough, AK",142561.5
2188,AK,"Northwest Arctic Borough, AK",101379
2195,AK,"Petersburg Borough, AK",107817
2198,AK,"Prince of Wales-Hyder Census Area, AK",84339
2201,AK,"Prince of Wales-Outer Ketchikan Census Area, AK",0
2220,AK,"Sitka Borough/city, AK",0
2230,AK,"Skagway Municipality, AK",0
2232,AK,"Skagway-Hoonah-Angoon Census Area, AK",0
2240,AK,"Southeast Fairbanks Census Area, AK",0
2261,AK,"Valdez-Cordova Census Area, AK",0
2275,AK,"Wrangell Borough/city, AK",0
2280,AK,"Wrangell-Petersburg Census Area, AK",0
2282,AK,"Yakutat Borough/city, AK",0
2290,AK,"Yukon-Koyukuk Census Area, AK",0
4000,AZ,Arizona,0
4001,AZ,"Apache County, AZ",0
4003,AZ,"Cochise County, AZ",0
4005,AZ,"Coconino County, AZ",0
4007,AZ,"Gila County, AZ",0
4009,AZ,"Graham County, AZ",0
4011,AZ,"Greenlee County, AZ",0
4012,AZ,"La Paz County, AZ",0
4013,AZ,"Maricopa County, AZ",0
4015,AZ,"Mohave County, AZ",0
4017,AZ,"Navajo County, AZ",0
4019,AZ,"Pima County, AZ",0
4021,AZ,"Pinal County, AZ",0
4023,AZ,"Santa Cruz County, AZ",0
4025,AZ,"Yavapai County, AZ",0
4027,AZ,"Yuma County, AZ",0
5000,AR,Arkansas,0
5001,AR,"Arkansas County, AR",0
5003,AR,"Ashley County, AR",0
5005,AR,"Baxter County, AR",0
5007,AR,"Benton County, AR",0
5009,AR,"Boone County, AR",0
5011,AR,"Bradley County, AR",0
5013,AR,"Calhoun County, AR",0
5015,AR,"Carroll County, AR",0
5017,AR,"Chicot County, AR",0
5019,AR,"Clark County, AR",0
5021,AR,"Clay County, AR",0
5023,AR,"Cleburne County, AR",0
